,target
421,9
422,0
423,1
424,2
425,3
426,4
427,5
428,6
429,7
430,8
431,9
432,0
433,1
434,2
435,3
436,4
437,5
438,6
439,7
440,8
441,9
442,0
443,1
444,2
445,3
446,4
447,5
448,6
449,7
450,8
451,9
452,0
453,1
454,2
455,3
456,4
457,5
458,6
459,7
460,8
461,9
462,0
463,1
464,2
465,3
466,4
467,5
468,6
469,7
470,8
471,9
472,0
473,1
474,2
475,3
476,4
477,5
478,6
479,7
480,8
481,9
482,0
483,1
484,2
485,3
486,4
487,5
488,6
489,7
490,8
491,9
492,0
493,1
494,2
495,3
496,4
497,5
498,6
499,7
500,8
501,9
502,0
503,1
504,2
505,3
506,4
507,5
508,6
509,7
510,8
511,9
512,0
513,1
514,2
515,3
516,4
517,5
518,6
519,7
520,8
521,9
522,0
523,1
524,2
525,3
526,4
527,5
528,6
529,7
530,8
531,9
532,0
533,1
534,2
535,3
536,4
537,5
538,6
539,7
540,8
541,9
542,0
543,1
544,2
545,3
546,4
547,5
548,6
549,7
550,8
551,9
552,0
553,1
554,2
555,3
556,4
557,5
558,6
559,7
560,8
561,9
562,0
563,1
564,2
565,3
566,4
567,5
568,6
569,7
570,8
571,9
572,0
573,1
574,2
575,3
576,4
577,5
578,6
579,7
580,8
581,9
582,0
583,1
584,2
585,3
586,4
587,5
588,6
589,7
590,8
591,9
592,0
593,1
594,2
595,3
596,4
597,5
598,6
599,7
600,8
601,9
602,0
603,1
604,2
605,3
606,4
607,5
608,6
609,7
610,8
611,9
612,0
613,1
614,2
615,3
616,4
617,5
618,6
619,7
620,8
621,9
622,0
623,1
624,2
625,3
626,4
627,5
628,6
629,7
630,8
631,9
632,0
633,1
634,2
635,3
636,4
637,5
638,6
639,7
640,8
641,9
642,0
643,1
644,2
645,3
646,4
647,5
648,6
649,7
650,8
651,9
652,0
653,1
654,2
655,3
656,4
657,5
658,6
659,7
660,8
661,9
662,0
663,1
664,2
665,3
666,4
667,5
668,6
669,7
670,8
671,9
672,0
673,1
674,2
675,3
676,4
677,5
678,6
679,7
680,8
681,9
682,0
683,1
684,2
685,3
686,4
687,5
688,6
689,7
690,8
691,9
692,0
693,1
694,2
695,3
696,4
697,5
698,6
699,7
700,8
701,9
702,0
703,1
704,2
705,3
706,4
707,5
708,6
709,7
710,8
711,9
712,0
713,1
714,2
715,3
716,4
717,5
718,6
719,7
720,8
721,9
722,0
723,1
724,2
725,3
726,4
727,5
728,6
729,7
730,8
731,9
732,0
733,1
734,2
735,3
736,4
737,5
738,6
739,7
740,8
741,9
742,0
743,1
744,2
745,3
746,4
747,5
748,6
749,7
750,8
751,9
752,0
753,1
754,2
755,3
756,4
757,5
758,6
759,7
760,8
761,9
762,0
763,1
764,2
765,3
766,4
767,5
768,6
769,7
770,8
771,9
772,0
773,1
774,2
775,3
776,4
777,5
778,6
779,7
780,8
781,9
782,0
783,1
784,2
785,3
786,4
787,5
788,6
789,7
790,8
791,9
792,0
793,1
794,2
795,3
796,4
797,5
798,6
799,7
800,8
801,9
802,0
803,1
804,2
805,3
806,4
807,5
808,6
809,7
810,8
811,9
812,0
813,1
814,2
815,3
816,4
817,5
818,6
819,7
820,8
821,9
822,0
823,1
824,2
825,3
826,4
827,5
828,6
829,7
830,8
831,9
832,0
833,1
834,2
835,3
836,4
837,5
838,6
839,7
840,8
841,9
842,0
843,1
844,2
845,3
846,4
847,5
848,6
849,7
850,8
851,9
852,0
853,1
854,2
855,3
856,4
857,5
858,6
859,7
860,8
861,9
862,0
863,1
864,2
865,3
866,4
867,5
868,6
869,7
870,8
871,9
872,0
873,1
874,2
875,3
876,4
877,5
878,6
879,7
880,8
881,9
882,0
883,1
884,2
885,3
886,4
887,5
888,6
889,7
890,8
891,9
892,0
893,1
894,2
895,3
896,4
897,5
898,6
899,7
900,8
901,9
902,0
903,1
904,2
905,3
906,4
907,5
908,6
909,7
910,8
911,9
912,0
913,1
914,2
915,3
916,4
917,5
918,6
919,7
920,8
921,9
922,0
923,1
924,2
925,3
926,4
927,5
928,6
929,7
930,8
931,9
932,0
933,1
934,2
935,3
936,4
937,5
938,6
939,7
940,8
941,9
942,0
943,1
944,2
945,3
946,4
947,5
948,6
949,7
950,8
951,9
952,0
953,1
954,2
955,3
956,4
957,5
958,6
959,7
960,8
961,9
962,0
963,1
964,2
965,3
966,4
967,5
968,6
969,7
970,8
971,9
972,0
973,1
974,2
975,3
976,4
977,5
978,6
979,7
980,8
981,9
982,0
983,1
984,2
985,3
986,4
987,5
988,6
989,7
990,8
991,9
992,0
993,1
994,2
995,3
996,4
997,5
998,6
999,7
1000,8
1001,9
1002,0
1003,1
1004,2
1005,3
1006,4
1007,5
1008,6
1009,7
1010,8
1011,9
1012,0
1013,1
1014,2
1015,3
1016,4
1017,5
1018,6
1019,7
1020,8
1021,9
1022,0
1023,1
1024,3
1025,2
1026,3
1027,4
1028,5
1029,6
1030,7
1031,8
1032,9
1033,0
1034,1
1035,2
1036,3
1037,4
1038,5
1039,6
1040,7
1041,8
1042,9
1043,9
1044,0
1045,1
1046,2
1047,3
1048,4
1049,5
1050,6
1051,7
1052,8
1053,9
1054,0
1055,0
1056,1
1057,2
1058,3
1059,4
1060,5
1061,6
1062,7
1063,8
1064,9
1065,9
1066,0
1067,1
1068,2
1069,3
1070,4
1071,5
1072,6
1073,7
1074,8
1075,9
1076,0
1077,1
1078,2
1079,3
1080,4
1081,5
1082,6
1083,7
1084,8
1085,9
1086,0
1087,1
1088,2
1089,3
1090,4
1091,5
1092,6
1093,7
1094,8
1095,9
1096,0
1097,1
1098,2
1099,3
1100,4
1101,5
1102,6
1103,7
1104,8
1105,9
1106,0
1107,1
1108,2
1109,3
1110,4
1111,5
1112,6
1113,7
1114,8
1115,9
1116,0
1117,1
1118,2
1119,3
1120,4
1121,5
1122,6
1123,7
1124,8
1125,9
1126,0
1127,1
1128,2
1129,3
1130,4
1131,5
1132,6
1133,7
1134,8
1135,9
1136,0
1137,1
1138,2
1139,3
1140,4
1141,5
1142,6
1143,7
1144,8
1145,9
1146,0
1147,1
1148,2
1149,3
1150,4
1151,5
1152,6
1153,7
1154,8
1155,9
1156,0
1157,1
1158,2
1159,3
1160,4
1161,5
1162,6
1163,7
1164,8
1165,9
1166,0
1167,1
1168,2
1169,3
1170,4
1171,5
1172,6
1173,7
1174,8
1175,9
1176,0
1177,1
1178,2
1179,3
1180,4
1181,5
1182,6
1183,7
1184,8
1185,9
1186,0
1187,1
1188,2
1189,3
1190,4
1191,5
1192,6
1193,7
1194,8
1195,9
1196,0
1197,1
1198,2
1199,3
1200,4
1201,5
1202,6
1203,7
1204,8
1205,9
1206,0
1207,1
1208,2
1209,3
1210,4
1211,5
1212,6
1213,7
1214,7
1215,8
1216,9
1217,0
1218,1
1219,2
1220,3
1221,4
1222,5
1223,6
1224,7
1225,8
1226,9
1227,0
1228,1
1229,2
1230,3
1231,4
1232,5
1233,6
1234,7
1235,8
1236,9
1237,0
1238,1
1239,2
1240,3
1241,4
1242,5
1243,6
1244,7
1245,8
1246,9
1247,0
1248,1
1249,2
1250,3
1251,4
1252,5
1253,6
1254,7
1255,8
1256,9
1257,0
1258,1
1259,2
1260,3
1261,4
1262,5
1263,6
1264,7
1265,8
1266,9
1267,0
1268,1
1269,2
1270,3
1271,4
1272,5
1273,6
1274,7
1275,8
1276,9
1277,0
1278,1
1279,2
1280,3
1281,4
1282,5
1283,6
1284,7
1285,8
1286,9
1287,0
1288,1
1289,2
1290,3
1291,4
1292,5
1293,6
1294,7
1295,8
1296,9
1297,0
1298,1
1299,2
1300,3
1301,4
1302,5
1303,6
1304,7
1305,8
1306,9
1307,0
1308,1
1309,2
1310,3
1311,4
1312,5
1313,6
1314,7
1315,8
1316,9
1317,0
1318,1
1319,2
1320,3
1321,4
1322,5
1323,6
1324,7
1325,8
1326,9
1327,0
1328,1
1329,2
1330,3
1331,4
1332,5
1333,6
1334,7
1335,8
1336,9
1337,0
1338,1
1339,2
1340,3
1341,4
1342,5
1343,6
1344,7
1345,8
1346,9
1347,0
1348,1
1349,2
1350,3
1351,4
1352,5
1353,6
1354,7
1355,8
1356,9
1357,0
1358,1
1359,2
1360,3
1361,4
1362,5
1363,6
1364,7
1365,8
1366,9
1367,0
1368,1
1369,2
1370,3
1371,4
1372,5
1373,6
1374,7
1375,8
1376,9
1377,0
1378,1
1379,2
1380,3
1381,4
1382,5
1383,6
1384,7
1385,8
1386,9
1387,0
1388,1
1389,2
1390,3
1391,4
1392,5
1393,6
1394,7
1395,8
1396,9
1397,0
1398,1
1399,2
1400,3
1401,4
1402,5
1403,6
1404,7
1405,8
1406,9
1407,0
1408,1
1409,2
1410,3
1411,4
1412,5
1413,6
1414,7
1415,8
1416,9
1417,0
1418,1
1419,2
1420,3
1421,4
1422,5
1423,6
1424,7
1425,8
1426,9
1427,0
1428,1
1429,2
1430,3
1431,4
1432,5
1433,6
1434,7
1435,8
1436,9
1437,0
1438,1
1439,2
1440,3
1441,4
1442,5
1443,6
1444,7
1445,8
1446,9
1447,0
1448,1
1449,2
1450,3
1451,4
1452,5
1453,6
1454,7
1455,8
1456,9
1457,0
1458,1
1459,2
1460,3
1461,4
1462,5
1463,6
1464,7
1465,8
1466,9
1467,0
1468,1
1469,2
1470,3
1471,4
1472,5
1473,6
1474,7
1475,8
1476,9
1477,0
1478,1
1479,2
1480,3
1481,4
1482,5
1483,6
1484,7
1485,8
1486,9
1487,0
1488,1
1489,2
1490,3
1491,4
1492,5
1493,6
1494,7
1495,8
1496,9
1497,0
1498,1
1499,2
1500,3
1501,4
1502,5
1503,6
1504,7
1505,8
1506,9
1507,0
1508,1
1509,2
1510,3
1511,4
1512,5
1513,6
1514,7
1515,8
1516,9
1517,0
1518,1
1519,2
1520,3
1521,4
1522,5
1523,6
1524,7
1525,8
1526,9
1527,0
1528,1
1529,2
1530,3
1531,4
1532,5
1533,6
1534,7
1535,8
1536,9
1537,0
1538,1
1539,2
1540,3
1541,4
1542,5
1543,6
1544,7
1545,8
1546,9
1547,0
1548,1
1549,2
1550,3
1551,4
1552,5
1553,6
1554,7
1555,8
1556,9
1557,0
1558,1
1559,2
1560,3
1561,4
1562,5
1563,6
1564,7
1565,8
1566,9
1567,0
1568,1
1569,2
1570,3
1571,4
1572,5
1573,6
1574,7
1575,8
1576,9
1577,0
1578,1
1579,2
1580,3
1581,4
1582,5
1583,6
1584,7
1585,8
1586,9
1587,0
1588,1
1589,2
1590,3
1591,4
1592,5
1593,6
1594,7
1595,7
1596,8
1597,9
1598,0
1599,1
1600,2
1601,3
1602,4
1603,5
1604,6
1605,7
1606,8
1607,9
1608,0
1609,1
1610,2
1611,3
1612,4
1613,5
1614,6
1615,7
1616,8
1617,9
1618,0
1619,1
1620,2
1621,3
1622,4
1623,5
1624,6
1625,7
1626,8
1627,9
1628,0
1629,1
1630,2
1631,3
1632,4
1633,5
1634,6
1635,7
1636,8
1637,9
1638,0
1639,1
1640,2
1641,3
1642,4
1643,5
1644,6
1645,7
1646,8
1647,9
1648,0
1649,1
1650,2
1651,3
1652,4
1653,5
1654,6
1655,7
1656,8
1657,9
1658,0
1659,1
1660,2
1661,3
1662,4
1663,5
1664,6
1665,7
1666,8
1667,9
1668,0
1669,1
1670,2
1671,3
1672,4
1673,5
1674,6
1675,7
1676,8
1677,9
1678,0
1679,1
1680,2
1681,3
1682,4
1683,4
1684,5
1685,6
1686,7
1687,8
1688,9
1689,0
1690,9
1691,1
1692,2
1693,3
1694,4
1695,5
1696,6
1697,7
1698,8
1699,9
1700,0
1701,1
1702,2
1703,3
1704,4
1705,5
1706,6
1707,7
1708,8
1709,9
1710,0
1711,1
1712,2
1713,3
1714,4
1715,5
1716,6
1717,7
1718,8
1719,9
1720,0
1721,1
1722,2
1723,3
1724,4
1725,5
1726,6
1727,7
1728,8
1729,9
1730,0
1731,1
1732,2
1733,3
1734,4
1735,5
1736,6
1737,7
1738,8
1739,9
1740,0
1741,1
1742,2
1743,3
1744,4
1745,5
1746,6
1747,7
1748,8
1749,9
1750,0
1751,1
1752,2
1753,3
1754,4
1755,5
1756,6
1757,7
1758,8
1759,9
1760,0
1761,1
1762,2
1763,3
1764,4
1765,5
1766,6
1767,7
1768,8
1769,9
1770,0
1771,1
1772,2
1773,3
1774,4
1775,5
1776,6
1777,7
1778,8
1779,9
1780,0
1781,1
1782,2
1783,3
1784,4
1785,5
1786,6
1787,7
1788,8
1789,9
1790,0
1791,1
1792,2
1793,3
1794,4
1795,5
1796,6
1797,7
1798,8
1799,9
1800,0
1801,1
1802,2
1803,3
1804,4
1805,5
1806,6
1807,7
1808,8
1809,9
1810,0
1811,1
1812,2
1813,3
1814,4
1815,5
1816,6
1817,7
1818,8
1819,9
1820,0
1821,1
1822,2
1823,3
1824,4
1825,5
1826,6
1827,7
1828,8
1829,9
1830,0
1831,0
1832,1
1833,2
1834,3
1835,4
1836,5
1837,6
1838,7
1839,8
1840,9
1841,0
1842,1
1843,2
1844,3
1845,4
1846,5
1847,6
1848,7
1849,8
1850,9
1851,0
1852,1
1853,2
1854,3
1855,4
1856,5
1857,6
1858,7
1859,8
1860,9
1861,0
1862,1
1863,2
1864,3
1865,4
1866,5
1867,6
1868,7
1869,8
1870,9
1871,0
1872,1
1873,2
1874,3
1875,4
1876,5
1877,6
1878,7
1879,8
1880,9
1881,0
1882,1
1883,2
1884,3
1885,4
1886,5
1887,6
1888,7
1889,8
1890,9
1891,0
1892,1
1893,2
1894,3
1895,4
1896,5
1897,6
1898,7
1899,8
1900,9
1901,0
1902,1
1903,2
1904,3
1905,4
1906,5
1907,6
1908,7
1909,8
1910,9
1911,0
1912,1
1913,2
1914,3
1915,4
1916,5
1917,6
1918,7
1919,8
1920,9
1921,0
1922,1
1923,2
1924,3
1925,4
1926,5
1927,6
1928,7
1929,8
1930,9
1931,0
1932,1
1933,2
1934,3
1935,4
1936,5
1937,6
1938,7
1939,8
1940,9
1941,0
1942,1
1943,2
1944,3
1945,4
1946,5
1947,6
1948,7
1949,8
1950,9
1951,0
1952,1
1953,2
1954,3
1955,4
1956,5
1957,6
1958,7
1959,8
1960,9
1961,0
1962,1
1963,2
1964,3
1965,4
1966,5
1967,6
1968,7
1969,8
1970,9
1971,0
1972,1
1973,2
1974,3
1975,4
1976,5
1977,6
1978,7
1979,8
1980,9
1981,0
1982,1
1983,2
1984,3
1985,4
1986,5
1987,6
1988,7
1989,8
1990,9
1991,0
1992,1
1993,2
1994,3
1995,4
1996,5
1997,6
1998,7
1999,8
2000,9
2001,0
2002,1
2003,2
2004,3
2005,4
2006,5
2007,6
2008,7
2009,8
2010,9
2011,0
2012,1
2013,2
2014,3
2015,4
2016,5
2017,6
2018,7
2019,8
2020,9
2021,0
2022,1
2023,2
2024,3
2025,4
2026,5
2027,6
2028,7
2029,8
2030,9
2031,0
2032,1
2033,2
2034,3
2035,4
2036,5
2037,6
2038,7
2039,8
2040,9
2041,0
2042,1
2043,2
2044,3
2045,4
2046,5
2047,6
2048,7
2049,8
2050,9
2051,0
2052,1
2053,2
2054,3
2055,4
2056,5
2057,6
2058,7
2059,8
2060,9
2061,0
2062,1
2063,2
2064,3
2065,4
2066,5
2067,6
2068,7
2069,8
2070,9
2071,0
2072,1
2073,2
2074,3
2075,4
2076,5
2077,6
2078,7
2079,8
2080,9
2081,0
2082,1
2083,2
2084,3
2085,4
2086,5
2087,6
2088,7
2089,8
2090,9
2091,0
2092,1
2093,2
2094,3
2095,4
2096,5
2097,6
2098,7
2099,8
2100,8
2101,9
2102,0
2103,1
2104,2
2105,3
2106,4
2107,5
2108,6
2109,7
2110,8
2111,9
2112,0
2113,1
2114,2
2115,3
2116,4
2117,5
2118,6
2119,7
2120,8
2121,9
2122,0
2123,1
2124,2
2125,3
2126,4
2127,5
2128,6
2129,7
2130,8
2131,9
2132,0
2133,1
2134,2
2135,3
2136,4
2137,5
2138,6
2139,7
2140,8
2141,9
2142,0
2143,1
2144,2
2145,3
2146,4
2147,5
2148,6
2149,7
2150,8
2151,9
2152,0
2153,1
2154,2
2155,3
2156,4
2157,5
2158,6
2159,7
2160,8
2161,9
2162,0
2163,1
2164,2
2165,3
2166,4
2167,5
2168,6
2169,7
2170,8
2171,9
2172,0
2173,1
2174,2
2175,3
2176,4
2177,5
2178,6
2179,7
2180,8
2181,9
2182,0
2183,1
2184,2
2185,3
2186,4
2187,5
2188,6
2189,7
2190,8
2191,9
2192,0
2193,1
2194,2
2195,3
2196,4
2197,5
2198,6
2199,7
2200,8
2201,9
2202,0
2203,1
2204,2
2205,3
2206,4
2207,5
2208,6
2209,7
2210,8
2211,9
2212,0
2213,1
2214,2
2215,3
2216,4
2217,5
2218,6
2219,7
2220,8
2221,9
2222,0
2223,1
2224,2
2225,3
2226,4
2227,5
2228,6
2229,7
2230,8
2231,9
2232,0
2233,1
2234,2
2235,3
2236,4
2237,5
2238,6
2239,7
2240,8
2241,9
2242,0
2243,1
2244,2
2245,3
2246,4
2247,5
2248,6
2249,7
2250,8
2251,9
2252,0
2253,1
2254,2
2255,3
2256,4
2257,5
2258,6
2259,7
2260,8
2261,9
2262,0
2263,1
2264,2
2265,3
2266,4
2267,5
2268,6
2269,7
2270,8
2271,9
2272,0
2273,1
2274,2
2275,3
2276,4
2277,5
2278,6
2279,7
2280,8
2281,9
2282,0
2283,1
2284,2
2285,3
2286,4
2287,5
2288,6
2289,7
2290,8
2291,9
2292,0
2293,1
2294,2
2295,3
2296,4
2297,5
2298,6
2299,7
2300,8
2301,9
2302,0
2303,0
2304,1
2305,2
2306,3
2307,4
2308,5
2309,6
2310,7
2311,8
2312,9
2313,0
2314,1
2315,2
2316,3
2317,4
2318,5
2319,6
2320,7
2321,8
2322,9
2323,0
2324,1
2325,2
2326,3
2327,4
2328,5
2329,6
2330,7
2331,8
2332,9
2333,0
2334,1
2335,2
2336,3
2337,4
2338,5
2339,6
2340,7
2341,8
2342,9
2343,0
2344,1
2345,2
2346,3
2347,4
2348,5
2349,6
2350,7
2351,8
2352,6
2353,9
2354,0
2355,1
2356,2
2357,3
2358,4
2359,5
2360,6
2361,7
2362,8
2363,9
2364,0
2365,1
2366,2
2367,3
2368,4
2369,5
2370,6
2371,7
2372,8
2373,9
2374,0
2375,1
2376,2
2377,3
2378,4
2379,5
2380,6
2381,7
2382,8
2383,9
2384,0
2385,1
2386,2
2387,3
2388,4
2389,5
2390,6
2391,7
2392,8
2393,9
2394,0
2395,1
2396,2
2397,3
2398,4
2399,5
2400,6
2401,7
2402,8
2403,9
2404,0
2405,1
2406,2
2407,3
2408,4
2409,5
2410,6
2411,7
2412,8
2413,9
2414,0
2415,1
2416,2
2417,3
2418,4
2419,5
2420,6
2421,7
2422,8
2423,9
2424,0
2425,1
2426,2
2427,3
2428,2
2429,4
2430,5
2431,6
2432,7
2433,8
2434,9
2435,0
2436,1
2437,2
2438,3
2439,4
2440,5
2441,6
2442,7
2443,8
2444,9
2445,0
2446,1
2447,2
2448,3
2449,4
2450,5
2451,6
2452,7
2453,8
2454,9
2455,0
2456,1
2457,2
2458,3
2459,4
2460,5
2461,6
2462,7
2463,8
2464,9
2465,0
2466,1
2467,2
2468,3
2469,4
2470,5
2471,6
2472,7
2473,8
2474,9
2475,0
2476,1
2477,2
2478,3
2479,4
2480,5
2481,6
2482,7
2483,8
2484,9
2485,0
2486,1
2487,2
2488,3
2489,4
2490,5
2491,6
2492,7
2493,8
2494,7
2495,8
2496,9
2497,0
2498,1
2499,2
2500,3
2501,4
2502,5
2503,6
2504,7
2505,8
2506,9
2507,0
2508,1
2509,2
2510,3
2511,4
2512,5
2513,6
2514,7
2515,8
2516,9
2517,0
2518,1
2519,2
2520,3
2521,3
2522,4
2523,5
2524,6
2525,7
2526,8
2527,9
2528,0
2529,1
2530,2
2531,3
2532,4
2533,5
2534,6
2535,7
2536,8
2537,9
2538,0
2539,1
2540,2
2541,3
2542,4
2543,5
2544,6
2545,7
2546,8
2547,9
2548,0
2549,1
2550,2
2551,3
2552,4
2553,5
2554,6
2555,7
2556,8
2557,9
2558,0
2559,1
2560,2
2561,3
2562,4
2563,5
2564,6
2565,7
2566,8
2567,9
2568,0
2569,1
2570,2
2571,3
2572,4
2573,5
2574,6
2575,7
2576,8
2577,9
2578,0
2579,1
2580,2
2581,3
2582,4
2583,5
2584,6
2585,7
2586,8
2587,9
2588,0
2589,1
2590,2
2591,3
2592,4
2593,5
2594,6
2595,7
2596,8
2597,9
2598,0
2599,1
2600,2
2601,3
2602,4
2603,5
2604,5
2605,6
2606,7
2607,8
2608,9
2609,0
2610,1
2611,2
2612,3
2613,4
2614,5
2615,6
2616,7
2617,8
2618,9
2619,0
2620,1
2621,2
2622,3
2623,5
2624,5
2625,6
2626,8
2627,9
2628,0
2629,1
2630,2
2631,3
2632,4
2633,5
2634,6
2635,7
2636,8
2637,9
2638,0
2639,1
2640,2
2641,3
2642,4
2643,5
2644,6
2645,7
2646,8
2647,9
2648,0
2649,1
2650,2
2651,3
2652,4
2653,5
2654,6
2655,7
2656,8
2657,9
2658,0
2659,1
2660,2
2661,3
2662,4
2663,5
2664,6
2665,7
2666,8
2667,9
2668,0
2669,1
2670,2
2671,3
2672,4
2673,5
2674,6
2675,7
2676,8
2677,9
2678,0
2679,1
2680,2
2681,3
2682,4
2683,5
2684,6
2685,7
2686,8
2687,9
2688,0
2689,1
2690,2
2691,3
2692,4
2693,5
2694,6
2695,7
2696,8
2697,9
2698,0
2699,1
2700,2
2701,3
2702,4
2703,5
2704,6
2705,7
2706,8
2707,9
2708,0
2709,1
2710,2
2711,3
2712,4
2713,5
2714,6
2715,7
2716,8
2717,9
2718,0
2719,1
2720,2
2721,3
2722,4
2723,5
2724,6
2725,7
2726,8
2727,9
2728,0
2729,1
2730,2
2731,3
2732,4
2733,5
2734,6
2735,7
2736,8
2737,9
2738,0
2739,1
2740,2
2741,3
2742,4
2743,5
2744,6
2745,7
2746,8
2747,9
2748,0
2749,1
2750,2
2751,3
2752,4
2753,5
2754,6
2755,7
2756,8
2757,9
2758,0
2759,1
2760,2
2761,3
2762,4
2763,5
2764,6
2765,7
2766,8
2767,9
2768,0
2769,1
2770,2
2771,3
2772,4
2773,5
2774,6
2775,7
2776,8
2777,9
2778,0
2779,1
2780,2
2781,3
2782,4
2783,5
2784,6
2785,7
2786,8
2787,9
2788,0
2789,1
2790,2
2791,3
2792,4
2793,5
2794,6
2795,7
2796,8
2797,9
2798,0
2799,1
2800,2
2801,3
2802,4
2803,5
2804,6
2805,7
2806,8
2807,9
2808,0
2809,1
2810,2
2811,3
2812,4
2813,5
2814,6
2815,7
2816,8
2817,9
2818,0
2819,1
2820,2
2821,3
2822,4
2823,5
2824,6
2825,7
2826,8
2827,9
2828,0
2829,1
2830,2
2831,3
2832,4
2833,5
2834,6
2835,7
2836,8
2837,9
2838,0
2839,1
2840,2
2841,3
2842,4
2843,5
2844,6
2845,7
2846,8
2847,9
2848,0
2849,1
2850,2
2851,3
2852,4
2853,5
2854,6
2855,7
2856,8
2857,9
2858,0
2859,1
2860,2
2861,3
2862,4
2863,5
2864,6
2865,7
2866,8
2867,9
2868,0
2869,1
2870,2
2871,3
2872,4
2873,5
2874,6
2875,7
2876,8
2877,9
2878,0
2879,1
2880,2
2881,3
2882,4
2883,5
2884,6
2885,7
2886,8
2887,9
2888,0
2889,1
2890,2
2891,3
2892,4
2893,5
2894,6
2895,7
2896,8
2897,9
2898,0
2899,1
2900,2
2901,3
2902,4
2903,5
2904,6
2905,7
2906,8
2907,9
2908,0
2909,1
2910,2
2911,3
2912,4
2913,5
2914,6
2915,7
2916,8
2917,9
2918,0
2919,1
2920,2
2921,3
2922,4
2923,5
2924,6
2925,7
2926,8
2927,9
2928,0
2929,1
2930,2
2931,3
2932,4
2933,5
2934,6
2935,7
2936,8
2937,9
2938,0
2939,1
2940,2
2941,3
2942,4
2943,5
2944,6
2945,7
2946,8
2947,9
2948,0
2949,1
2950,2
2951,3
2952,4
2953,5
2954,6
2955,7
2956,8
2957,9
2958,0
2959,1
2960,2
2961,3
2962,4
2963,5
2964,6
2965,7
2966,8
2967,9
2968,0
2969,1
2970,2
2971,3
2972,4
2973,5
2974,6
2975,7
2976,8
2977,9
2978,0
2979,1
2980,2
2981,3
2982,4
2983,5
2984,6
2985,7
2986,8
2987,9
2988,0
2989,1
2990,2
2991,3
2992,4
2993,5
2994,6
2995,7
2996,8
2997,9
2998,0
